city1,city2,city3,city4,city5,city6,city7,city8,city9,city10
601,811,915,646,1057,900,631,710,861,665
659,808,900,618,1050,871,626,693,760,728
619,820,892,651,1090,876,608,736,827,698
622,787,899,622,1065,879,646,714,782,720
643,806,871,637,1060,871,613,703,816,700
624,810,890,661,1069,896,617,713,813,730
643,800,861,642,1094,868,612,707,816,700
631,803,883,633,1062,865,644,710,806,670
623,810,888,658,1048,881,613,703,802,741
629,792,904,636,1062,890,631,705,953,694
628,851,886,650,1071,854,626,720,865,735
601,789,897,636,1061,865,635,732,914,683
658,802,878,655,1082,888,605,680,891,715
619,783,919,626,1072,857,631,719,907,699
646,815,891,630,1071,902,625,710,902,720
606,795,897,646,1069,886,634,732,874,696
656,804,896,647,1055,899,630,683,901,693
629,799,884,641,1067,881,624,719,905,718
612,805,906,648,1080,885,637,698,949,700
623,806,852,651,1090,871,610,720,899,733
632,815,924,677,1084,871,628,720,887,728
642,836,853,642,1063,879,617,729,916,709
635,776,917,639,1090,894,615,718,901,692
637,834,886,646,1033,875,642,706,891,718
609,775,908,661,1061,880,626,722,915,696
632,796,888,641,1059,890,636,709,916,686
616,770,903,666,1080,868,617,723,931,707
610,823,892,636,1095,878,632,703,865,690
634,790,867,647,1068,896,608,735,952,696
615,817,898,636,1094,887,631,731,864,712
635,811,893,648,1087,894,634,736,912,702
623,812,906,643,1071,864,623,692,871,703
640,827,897,628,1066,868,616,714,908,665
633,790,873,646,1087,891,622,700,890,724
615,798,895,641,824,883,628,729,912,689
626,798,873,649,993,857,611,711,898,705
633,801,899,626,896,900,625,729,902,697
631,793,901,662,945,852,612,711,901,703
650,789,865,627,935,916,617,699,926,711
609,804,911,639,912,856,650,700,903,680
642,794,896,648,969,904,624,736,923,702
622,807,898,641,920,889,609,694,895,679
640,807,922,634,929,898,618,729,925,735
619,800,905,655,941,857,617,697,907,675
650,813,889,638,899,894,629,714,893,723
600,787,883,638,907,892,621,701,903,715
653,805,904,664,936,859,622,721,912,705
602,799,884,597,866,890,632,704,926,704
645,826,890,662,947,898,627,691,864,703
613,813,868,650,896,897,618,721,929,704
629,775,899,638,916,877,629,712,887,702
622,831,876,617,902,876,637,716,883,719
632,789,900,651,946,898,619,718,892,693
622,805,876,640,872,893,603,706,929,736
637,811,901,646,1040,875,629,713,849,706
619,799,897,663,972,897,612,701,918,714
620,795,914,652,984,863,619,737,876,724
637,803,908,641,1006,871,611,696,900,705
627,799,904,639,988,880,619,714,926,713
636,796,874,623,991,888,645,700,897,696
645,814,891,635,985,874,612,735,927,685
620,781,923,627,971,905,637,706,888,704
629,821,881,620,992,879,610,713,892,721
620,792,919,642,983,899,644,720,914,691
628,818,878,632,974,879,643,719,899,720
614,784,909,654,1012,858,621,714,904,681
662,819,906,649,1007,917,610,718,919,694
634,794,920,633,997,866,631,730,899,722
639,795,894,624,972,871,632,708,890,695
651,796,891,655,997,888,606,699,904,717
637,781,892,639,979,873,636,728,929,685
656,797,913,635,992,883,632,725,928,710
620,821,896,645,967,897,629,697,914,711
651,809,913,651,996,863,629,721,919,711
619,817,900,636,992,897,622,723,904,716
636,786,897,653,989,893,632,686,906,702
634,791,881,641,980,870,630,720,915,693
626,831,887,640,1014,886,608,735,888,703
661,794,888,648,973,877,620,705,895,700
604,787,906,645,977,874,611,740,720,718
648,800,900,643,1004,885,633,708,814,718
612,795,884,636,989,913,614,725,758,699
658,795,900,648,986,892,628,711,823,689
616,806,886,633,994,855,637,721,758,692
636,811,893,648,973,912,608,708,792,712
619,822,875,643,998,868,633,714,770,704
610,814,897,649,974,904,617,724,778,709
643,810,888,632,989,886,619,701,784,709
656,794,893,642,993,880,624,712,796,720
608,802,907,648,985,874,629,708,900,695
649,789,918,636,999,904,659,716,819,716
621,809,886,637,984,860,581,743,887,724
635,808,875,641,993,881,634,697,877,704
627,786,907,620,998,880,610,727,879,719
624,811,878,656,991,871,634,731,860,698
635,796,904,642,985,894,628,714,900,691
645,787,855,640,1015,871,626,725,862,721
611,813,918,640,959,877,607,717,860,685
659,790,870,645,1000,887,627,709,864,724
637,791,886,662,1001,875,623,697,884,702
626,804,905,617,983,879,623,705,878,711
638,807,892,657,985,874,623,713,884,705
603,828,891,652,1010,891,630,703,870,702
635,778,895,645,980,851,611,701,888,711
636,796,914,638,1007,899,644,718,859,720
635,824,883,661,977,884,622,720,868,672
618,786,918,652,960,903,626,715,866,707
644,812,858,625,1005,865,607,689,856,712
636,795,898,653,992,909,658,726,871,695
606,833,896,646,985,844,615,714,870,707
612,800,884,638,1015,886,623,725,854,718
652,794,912,625,983,859,627,695,859,708
620,803,906,635,991,860,620,742,879,699
653,825,879,646,997,893,610,683,884,724
624,793,898,636,819,879,630,731,856,682
639,815,868,661,934,866,622,703,891,733
655,811,915,648,862,898,623,733,819,698
608,776,888,632,927,887,609,706,895,691
680,813,898,648,844,905,621,723,847,700
620,801,882,653,923,881,603,712,885,716
624,807,886,636,864,882,627,742,830,696
610,811,906,648,913,859,622,713,864,717
646,771,880,671,862,898,621,719,891,703
643,831,939,636,907,828,643,734,861,699
626,799,864,647,981,888,629,706,887,696
651,802,911,629,949,880,624,723,855,726
614,780,905,649,962,871,607,718,866,743
652,809,900,619,956,876,637,709,880,665
631,809,867,641,952,889,597,730,842,716
620,795,896,652,945,890,644,733,899,701
643,825,919,656,971,884,632,711,852,694
632,798,892,659,914,888,614,701,885,702
640,791,903,645,950,907,637,731,848,684
637,814,899,641,939,851,608,687,887,710
620,801,673,648,948,903,604,734,867,709
649,800,812,637,958,862,633,707,859,688
632,793,733,632,965,889,635,736,880,714
620,842,790,638,981,891,638,691,851,726
622,758,723,629,919,884,623,733,882,707
639,815,775,682,962,869,605,738,857,681
629,818,734,623,959,866,635,690,902,708
613,798,776,658,955,882,629,729,838,717
626,809,768,635,932,864,634,726,875,705
628,790,758,656,958,889,627,731,883,730
641,813,895,607,918,887,628,726,880,721
635,798,846,655,960,872,625,712,851,694
626,790,875,626,953,901,628,703,880,729
626,801,838,631,967,882,598,711,865,683
633,810,859,640,926,893,637,721,864,705
624,805,845,653,990,906,628,705,900,697
633,798,878,618,930,885,628,694,851,715
635,798,823,642,958,860,615,730,893,703
621,796,871,638,971,884,635,711,879,716
631,818,854,648,949,874,613,719,861,691
624,820,844,633,799,883,616,697,863,739
624,791,852,639,926,884,654,731,862,679
632,825,877,645,807,859,610,721,905,704
647,776,837,630,922,886,626,704,855,693
617,777,861,655,857,884,642,717,863,690
653,815,874,642,869,880,612,721,904,693
599,799,847,645,870,876,623,731,850,707
636,807,875,668,872,870,631,704,866,718
643,807,836,601,873,880,632,728,893,697
627,792,853,652,848,860,655,707,857,705
653,808,896,626,982,906,606,739,894,720
620,799,818,662,841,882,635,691,863,716
598,781,860,650,968,873,609,717,880,700
650,820,855,632,910,884,639,714,842,712
633,767,859,635,913,887,656,714,865,699
607,819,863,642,935,871,616,723,874,696
644,782,860,646,924,913,626,731,882,708
636,826,860,639,916,869,602,713,829,696
632,807,869,630,920,868,636,709,893,718
633,806,841,635,917,865,624,718,856,721
651,773,863,642,927,874,630,733,903,727
638,811,859,629,955,896,620,697,864,717
629,776,844,658,868,671,633,731,845,722
626,818,871,623,934,794,622,696,875,713
651,795,840,629,896,750,625,692,877,692
632,815,853,640,935,740,624,731,878,711
632,783,866,658,928,783,645,714,897,697
628,800,856,635,917,721,629,722,842,691
631,803,858,651,923,763,614,701,867,700
612,812,860,622,967,759,632,725,866,700
641,797,846,635,902,745,627,719,882,714
626,795,884,633,945,729,629,705,858,715
640,810,848,645,895,903,649,723,873,710
639,782,860,645,923,824,601,728,882,701
651,815,863,647,919,851,634,716,885,678
638,800,838,642,936,858,622,711,862,718
636,792,873,648,905,848,604,744,872,700
621,809,827,635,945,866,630,706,873,694
632,785,861,655,913,849,628,716,849,718
614,819,859,624,885,831,613,728,866,705
635,769,869,643,929,837,645,711,883,715
594,831,864,637,913,840,631,696,871,726
660,786,867,632,912,847,620,711,873,691
601,814,839,630,930,824,604,723,860,701
665,799,891,656,767,854,648,706,854,711
641,815,856,639,900,834,615,715,916,695
636,811,852,625,804,851,637,723,809,701
634,814,859,633,886,839,615,701,901,681
642,771,858,636,816,839,634,727,845,706
654,802,875,664,871,843,611,734,881,694
623,803,867,647,825,854,638,708,878,702
645,781,832,649,880,848,599,711,868,708
630,799,873,662,834,829,622,703,849,693
639,796,863,630,871,864,604,715,895,708
639,806,832,633,918,851,630,737,859,695
617,817,894,639,870,876,623,698,859,697
636,807,863,633,912,830,639,737,868,713
642,805,861,652,855,839,644,719,855,705
609,779,844,639,906,858,611,725,866,704
658,818,862,628,879,848,617,723,880,708
624,805,825,658,892,860,621,716,869,704
641,789,860,640,879,820,615,715,873,702
617,793,865,658,894,862,660,725,871,714
615,820,857,649,877,864,591,705,887,683
637,785,850,634,919,842,637,734,845,703
665,775,861,660,856,855,615,671,904,707
589,811,834,634,897,813,613,735,847,689
652,802,862,641,867,837,631,709,877,729
611,787,851,663,904,847,627,717,869,673
643,806,859,629,897,838,611,719,854,735
618,809,862,624,887,847,646,701,868,682
632,809,865,658,882,833,597,717,868,723
636,803,842,631,898,855,636,681,870,710
617,786,873,657,871,829,621,717,879,696
636,816,892,619,900,836,637,711,869,716
631,798,825,668,869,834,634,715,895,717
614,818,850,633,902,848,638,709,878,704
665,788,860,630,887,846,611,708,868,704
629,809,861,644,890,870,606,704,874,716
639,799,816,606,886,851,630,724,692,692
610,813,886,672,892,857,628,700,833,720
666,779,864,627,890,842,621,718,726,716
642,817,874,650,877,833,640,728,787,698
633,789,868,634,891,843,621,716,754,724
623,800,863,652,884,844,628,706,774,704
618,803,853,621,872,848,612,739,780,694
647,835,853,643,908,818,621,704,757,710
649,798,852,656,856,857,640,706,784,703
616,795,858,639,897,844,625,716,741,709
629,814,844,664,861,836,652,705,890,711
634,803,861,660,913,848,620,730,788,703
632,835,855,628,872,853,603,719,867,721
629,813,862,641,904,836,612,740,795,692
628,787,839,645,881,846,635,690,853,719
628,801,870,645,895,821,616,718,838,709
629,793,832,630,853,851,641,693,807,703
624,785,853,646,905,855,616,719,855,720
657,782,872,632,890,832,635,709,832,680
603,822,851,653,889,878,628,736,849,726
648,774,870,653,895,840,616,681,832,715
637,800,854,622,862,840,632,738,836,705
627,805,856,658,906,835,638,704,839,715
638,795,848,618,847,865,636,711,835,718
626,824,864,657,918,829,634,724,838,694
599,781,836,647,852,831,616,712,846,709
643,786,874,651,906,869,643,689,823,726
638,788,832,644,872,824,597,711,843,674
633,791,885,633,898,836,630,712,839,707
637,815,843,631,899,857,610,713,821,676
636,812,868,661,872,863,608,719,844,736
618,797,830,641,906,835,631,738,811,673
626,802,869,639,860,842,620,698,837,711
639,797,854,643,882,851,624,741,849,686
607,824,870,652,894,846,630,694,814,713
609,813,869,648,771,860,619,693,847,692
640,763,842,637,890,858,613,733,824,710
651,822,853,628,788,838,637,748,840,700
632,778,891,649,878,823,620,710,842,724
628,784,821,655,774,857,646,710,852,681
634,798,882,622,896,842,610,717,829,696
642,848,836,655,769,842,635,720,825,726
637,772,872,647,884,869,625,713,821,691
605,797,857,652,795,828,622,732,842,699
623,801,851,611,864,843,644,698,852,716
643,811,863,658,764,857,612,736,836,700
621,777,853,650,871,837,634,697,841,704
629,837,861,661,761,852,629,727,832,705
625,784,842,619,862,851,630,710,860,696
621,781,869,644,769,832,622,720,811,711
642,803,854,653,858,803,637,755,857,706
632,813,858,614,767,868,606,709,817,706
632,787,861,643,853,817,635,729,852,705
652,839,862,638,770,872,629,682,821,705
627,793,894,653,854,829,636,725,876,714
630,807,848,637,823,842,617,696,831,706
646,806,864,646,844,852,619,734,864,723
623,804,867,628,803,856,622,728,836,694
610,811,855,642,855,818,607,693,837,735
628,782,853,631,795,847,649,731,839,665
636,821,845,651,867,825,608,705,832,726
626,807,855,631,790,847,650,698,814,695
635,812,900,635,858,864,610,714,838,705
622,826,839,635,824,824,620,715,852,719
650,784,878,647,819,849,614,743,823,702
615,788,657,619,844,830,650,704,842,697
617,802,807,649,820,825,611,705,851,704
631,799,723,633,851,868,645,724,836,714
622,794,750,645,802,815,646,729,857,710
634,828,731,631,868,857,635,736,822,686
614,817,773,653,805,848,615,714,831,710
652,801,707,638,854,852,632,714,843,707
619,815,764,642,808,840,613,710,811,698
608,821,711,610,840,835,614,700,835,695
633,812,777,649,822,861,630,730,831,693
624,782,842,647,846,845,631,706,859,709
651,822,815,636,816,852,634,718,831,712
606,787,860,651,847,657,645,709,827,701
635,811,808,638,810,781,603,719,845,696
635,790,842,627,835,689,653,720,842,740
626,788,815,649,827,764,628,727,829,696
620,796,826,622,824,714,611,712,813,704
645,796,804,651,837,751,631,734,861,711
631,793,822,647,823,718,636,707,823,711
643,806,827,639,833,733,620,738,835,706
634,778,830,627,825,701,647,694,849,693
630,808,825,637,827,760,620,733,841,703
638,817,812,641,841,826,639,699,816,705
638,805,835,645,824,796,624,718,840,718
645,797,821,619,830,838,641,725,813,708
625,802,839,648,832,777,632,706,842,734
645,795,804,636,821,845,642,713,848,696
626,791,852,644,853,799,612,709,804,699
616,814,817,631,804,828,619,711,841,700
639,820,831,627,854,802,611,721,828,703
618,802,807,649,820,851,626,714,853,713
652,802,872,637,844,799,614,717,816,701
615,796,802,638,814,822,634,699,856,706
624,814,842,642,853,805,628,722,823,695
634,816,819,633,804,807,623,724,847,702
621,795,859,649,866,791,624,713,686,719
622,808,814,640,808,808,636,713,804,725
650,805,843,650,860,828,625,721,724,706
630,847,807,639,801,795,625,715,767,706
637,790,821,638,857,821,628,713,732,710
632,809,835,653,795,788,622,730,755,700
625,812,829,626,860,844,634,726,756,713
640,815,828,643,815,799,623,698,759,687
628,771,816,641,855,845,613,734,750,707
636,811,825,650,824,798,634,697,765,721
635,798,831,649,845,823,639,749,838,701
622,833,818,667,810,822,609,717,796,722
627,776,845,635,854,806,629,692,797,689
